,imodulon,annotation,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,source,kegg_id,pathway_name,module_name
0,6,histidine biosynthetic process,0.005331556147958509,0.055981339553564345,0.0625,1.0,0.11764705882352941,1.0,1.0,16.0,GO,,,
1,6,histidinol-phosphatase activity,0.005331556147958509,0.055981339553564345,0.0625,1.0,0.11764705882352941,1.0,1.0,16.0,GO,,,
2,WA5_RS00045,"fructose 1,6-bisphosphate 1-phosphatase activity",0.002999000333226667,0.015744751749440004,0.1111111111111111,1.0,0.19999999999999998,1.0,1.0,9.0,GO,,,
3,WA5_RS00045,"fructose 1,6-bisphosphate metabolic process",0.002999000333226667,0.015744751749440004,0.1111111111111111,1.0,0.19999999999999998,1.0,1.0,9.0,GO,,,
4,WA5_RS00045,gluconeogenesis,0.002999000333226667,0.015744751749440004,0.1111111111111111,1.0,0.19999999999999998,1.0,1.0,9.0,GO,,,
5,WA5_RS00045,manganese ion binding,0.002999000333226667,0.015744751749440004,0.1111111111111111,1.0,0.19999999999999998,1.0,1.0,9.0,GO,,,
6,WA5_RS00045,magnesium ion binding,0.005990003332210669,0.025158013995284813,0.1111111111111111,0.5,0.1818181818181818,1.0,2.0,9.0,GO,,,
0,2,,0.00019891113321205675,0.04495391610592483,0.6666666666666666,0.08,0.14285714285714285,2.0,25.0,3.0,,map00860,Porphyrin metabolism,
1,WA5_RS03145,,5.6261228502661876e-05,0.012715037641601585,0.033783783783783786,0.5,0.06329113924050633,5.0,10.0,148.0,,map00364,Fluorobenzoate degradation,
2,WA5_RS03145,,0.00030389305931820927,0.03433991570295765,0.0472972972972973,0.25,0.07954545454545454,7.0,28.0,148.0,,map01220,Degradation of aromatic compounds,
3,WA5_RS03145,,0.001625536474223995,0.07347424863492458,0.04054054054054054,0.2222222222222222,0.06857142857142856,6.0,27.0,148.0,,map00362,Benzoate degradation,
4,WA5_RS03145,,0.001092727531299537,0.07347424863492458,0.02027027027027027,0.6,0.0392156862745098,3.0,5.0,148.0,,map00622,Xylene degradation,
5,WA5_RS03145,,0.0013862104654104026,0.07347424863492458,0.033783783783783786,0.2777777777777778,0.060240963855421686,5.0,18.0,148.0,,map00920,Sulfur metabolism,
6,WA5_RS11920,,7.31556063146627e-14,1.1015631633867952e-11,0.7777777777777778,0.25925925925925924,0.3888888888888889,7.0,27.0,9.0,,map00362,Benzoate degradation,
