,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,single_gene,explained_variance,category
polyketide-synthase,,,,,,,,,14,,,0.002027568135372082,functional
copper-utilization,,,,,,,,,10,,,0.00342124711044689,uncharacterized
peroxide-stress,,,,,,,,,3,,,0.0009942454218416774,functional
Cg0725,WA5_RS03145,2.9136231266437755e-11,7.284057816609439e-10,0.05405405405405406,1.0,0.10256410256410257,8.0,8.0,148,1.0,,0.01991480922070188,regulatory
YqjI,,,,,,,,,4,,,0.0015925140751977818,functional
PcaO,WA5_RS11920,5.588786512349333e-10,3.3532719074096e-09,0.4444444444444444,0.6666666666666666,0.5333333333333333,4.0,6.0,9,1.0,,0.0017382211422942717,regulatory
histidine-biosynthetic,,,,,,,,,16,,,0.011232943124007577,regulatory
IolR,WA5_RS00825,4.5028217911518414e-17,9.005643582303683e-17,1.0,0.4117647058823529,0.5833333333333334,7.0,17.0,7,1.0,,0.008273754666899391,regulatory
proline-transport,,,,,,,,,3,,,0.0032577453286737335,functional
SufR,WA5_RS07815,6.229139253883117e-14,3.7374835523298705e-13,0.8333333333333334,0.7142857142857143,0.7692307692307692,5.0,7.0,6,1.0,,0.004687027202125549,regulatory
SG_1,,,,,,,,,1,,True,0.0009583834009803116,single_gene
Zur,WA5_RS11355,4.33059780803562e-09,8.66119561607124e-09,0.5,0.4,0.4444444444444445,4.0,10.0,8,1.0,,0.00337968399882993,regulatory
Cg1084,,,,,,,,,3,,,0.001398500076132625,functional
amino-acid-related-2,,,,,,,,,3,,,0.0005571393839784999,functional
Fructose-utilization,,,,,,,,,4,,,0.01541019730578419,uncharacterized
sigD-operon,,,,,,,,,4,,,0.003551137589865805,functional
Cg2712,,,,,,,,,5,,,0.012256363582281216,functional
SG_2,,,,,,,,,1,,True,0.0004983018593303079,single_gene
PdxR,,,,,,,,,4,,,0.0019952645027431215,functional
Aromatic-degradation,,,,,,,,,17,,,0.010741019898930726,functional
Thiamine-metabolism,TPP,4.493334956992062e-11,1.3480004870976188e-10,0.3157894736842105,0.46153846153846156,0.37499999999999994,6.0,13.0,19,1.0,,0.005155627727761458,functional
SG_3,,,,,,,,,1,,True,0.002200360007475255,single_gene
SG_4,,,,,,,,,1,,True,0.0022875203464476357,single_gene
uncharacterized-1,,,,,,,,,36,,,0.004778911693469112,uncharacterized
Signal-transduction,,,,,,,,,5,,,0.0012469512948973804,functional
Intracellular-trafficking,,,,,,,,,20,,,0.022624189367413616,functional
